"Country name";"GDP";"Population";"CO2"
"Andorra";"0.0";"0";"0.0"
"Kuwait";"0.0";"0";"0.0"
"Antigua and Barbuda";"0.0";"0";"0.0"
"Latvia";"0.0";"0";"0.0"
"Aruba";"0.0";"0";"0.0"
"Liechtenstein";"0.0";"0";"0.0"
"Australia";"0.0";"0";"0.0"
"Lithuania";"0.0";"0";"0.0"
"Austria";"0.0";"0";"0.0"
"Luxembourg";"0.0";"0";"0.0"
"Bahamas, The";"0.0";"0";"0.0"
"Macao SAR, China";"0.0";"0";"0.0"
"Bahrain";"0.0";"0";"0.0"
"Malta";"0.0";"0";"0.0"
"Barbados";"0.0";"0";"0.0"
"Monaco";"0.0";"0";"0.0"
"Belgium";"0.0";"0";"0.0"
"Nauru";"0.0";"0";"0.0"
"Bermuda";"0.0";"0";"0.0"
"Netherlands";"0.0";"0";"0.0"
"British Virgin Islands";"0.0";"0";"0.0"
"New Caledonia";"0.0";"0";"0.0"
"Brunei Darussalam";"0.0";"0";"0.0"
"New Zealand";"0.0";"0";"0.0"
"Canada";"0.0";"0";"0.0"
"Northern Mariana Islands";"0.0";"0";"0.0"
"Cayman Islands";"0.0";"0";"0.0"
"Norway";"0.0";"0";"0.0"
"Channel Islands";"0.0";"0";"0.0"
"Oman";"0.0";"0";"0.0"
"Chile";"0.0";"0";"0.0"
"Poland";"0.0";"0";"0.0"
"Croatia";"0.0";"0";"0.0"
"Portugal";"0.0";"0";"0.0"
"Curacao";"0.0";"0";"0.0"
"Puerto Rico";"0.0";"0";"0.0"
"Cyprus";"0.0";"0";"0.0"
"Qatar";"0.0";"0";"0.0"
"Czech Republic";"0.0";"0";"0.0"
"San Marino";"0.0";"0";"0.0"
"Denmark";"0.0";"0";"0.0"
"Saudi Arabia";"6.46E11";"31540000";"18.1"
"Estonia";"2.269E10";"1312000";"14.0"
"Seychelles";"1.438E9";"92900";"6.8"
"Faroe Islands";"2.613E9";"48200";"11.7"
"Singapore";"2.927E11";"5535000";"4.3"
"Finland";"2.298E11";"5482000";"10.2"
"Sint Maarten (Dutch part)";"0.0";"38820";"0.0"
"France";"2.422E12";"66810000";"5.2"
"Slovak Republic";"8.658E10";"5424000";"6.4"
"French Polynesia";"3.448E9";"282800";"3.2"
"Slovenia";"4.275E10";"2064000";"7.5"
"Germany";"3.356E12";"81410000";"8.9"
"Spain";"1.199E12";"46420000";"5.8"
"Gibraltar";"0.0";"32220";"14.6"
"St. Kitts and Nevis";"921.9";"55570";"5.1"
"Greece";"1.952E11";"10820000";"7.6"
"St. Martin (French part)";"0.0";"31750";"0.0"
"Greenland";"2.441E9";"56110";"12.4"
"Sweden";"4.926E11";"9799000";"5.5"
"Guam";"0.0";"169900";"0.0"
"Switzerland";"6.647E11";"8287000";"4.6"
"Hong Kong SAR, China";"3.099E11";"7306000";"5.7"
"Taiwan, China";"0.0";"0";"0.0"
"Hungary";"1.207E11";"9845000";"4.9"
"Trinidad and Tobago";"2.781E10";"1360000";"37.1"
"Iceland";"1.6600000000000002E10";"330800";"5.9"
"Turks and Caicos Islands";"0.0";"34340";"6.0"
"Ireland";"2.38E11";"4641000";"7.9"
"United Arab Emirates";"3.703E11";"9157000";"20.4"
"Isle of Man";"6.754E9";"87780";"0.0"
"United Kingdom";"2.849E12";"65140000";"7.1"
"Israel";"2.961E11";"8380000";"9.0"
"United States";"1.795E13";"321400000";"17.0"
"Italy";"1.815E12";"60800000";"6.7"
"Uruguay";"5.344E10";"3432000";"2.3"
"Japan";"4.123E12";"127000000";"9.3"
"Virgin Islands (U.S.)";"1.996E9";"103600";"0.0"
"Korea, Rep.";"1.378E12";"50620000";"11.8"
